#https://github.com/VIBE94/Hindi-Riddles/blob/main/hindi_riddles.json
"hindiRiddle": "ऐसा कौन-सा व्यक्ति है , जो 100 लोगों को मार दे फिर भी उसको सजा नहीं हो सकती?",	"englishRiddle": "Aisa konsa vyakti hai, jo 100 logo ko maar de phir bhi usko saja nahi ho sakti?",	"answer": "उत्तर - जल्लाद"
"hindiRiddle": "लड़कियों की ऐसी कौन सी चीज है , जो हमेशा बढ़ती रहती है ?",	"englishRiddle": "Ladkiyo ki aisi konsi chij hai, jo humesha badhti hi rehti hai ?",	"answer": "उत्तर - बाल"
"hindiRiddle": "क्रिकेट की पूरे मैच में किस स्थान को दो लड़कियों के नाम से पुकारा जाता है ?",	"englishRiddle": "Cricket ki pure match mein kis sthan ko do ladkiyo ke naam se pukara jaata hai ?",	"answer": "उत्तर - सीमा और रेखा"
"hindiRiddle": "अमिताभ और प्राण बस स्टॉप पर खड़े हुए है, बस रुकी और उस पर प्राण चढ़ गया, पर अमिताभ नहीं चढ़ा, क्यू ?",	"englishRiddle": "Amitabh aur pran busstop par khade hue hai, bas ruki aur us par pran chadh gaya, par Amitabh nahi chadha, kyu ?",	"answer": "उत्तर - क्योंकि बस पर लिखा हुआ था,\nरघुकुल रीत सदा चलि आई, 'प्राण' जाई पर 'बचन' न जाई"
"hindiRiddle": "वह क्या चीज है जो हाथी से भी बड़ी होती हैं. लेकिन उसका वजन कुछ भी नही होता है?",	"englishRiddle": "Wah kya chij hai, jo hathi se bhi badhi hoti hai, lekin uska wajan kuch bhi nahi hota hai?",	"answer": "उत्तर - हाथी की परछाईं"
"hindiRiddle": "पैसे को दोगुने करने का सबसे असान तरीका क्या होता है ?",	"englishRiddle": "Paise ko dogune karne ka sabse aasaan tarika kya hota hai ?",	"answer": "उत्तर -  पैसे को आईने के सामने रख दो, पैसे दोगुने हो जायेंगे |"
"hindiRiddle": "ऐसा कौन सा शब्द है, जिसे लिखते तो है, पर पढ़ते नही है ?",	"englishRiddle": "Aisa konsa shabd hai, jise likhte toh hai, par padhte nahi hai ?",	"answer": "उत्तर  - नही"
"hindiRiddle": "एक सेलर ने कहा “पूरा परिवार जिदंगी भर बैठ कर खायेंगे” ,\nबताओ वह क्या बेच रहा था ?",	"englishRiddle": "Ek sellar ne kaha \" Pura pariwar jindgi bhar baith kar khayenge,\" batao wah kya bech rha tha ?",	"answer": "उत्तर - चटाई"
"hindiRiddle": "अगर स्कूटी स्पीड से चला रही महिला के सामने पति और भाई खड़े है, तो सबसे पहले वो किसे मारेगी?",	"englishRiddle": "Agar scooty speed se chala rahi mahila ke saamne pati aur bhai khade hai, toh sabse pahale wo kise maregi ?",	"answer": "उत्तर -  ब्रेक"
"hindiRiddle": "किसी गाने की वह कौनसी लाइन है जिसमे हिंदी, अंग्रेज़ी, उर्दू और पंजाबी के शब्द आते है ?",	"englishRiddle": "Kisi gane ki wah konsi line hai, jisme hindi, agreji, urdu aur punjabi ke shabd aate hai ?",	"answer": "उत्तर - इश्क दी गली विच नो एंट्री"
"hindiRiddle": "मीडिया और पत्नी में क्या चीज़ समानता है ?",	"englishRiddle": "Media aur patni mein kya chij samanata hai ?",	"answer": "उत्तर - जब तक एक ही बात को 100 बार न बता दे, तब तक सुकून नहीं मिलता हैं."
