hoimalnad_kannada_1	ಅಜ್ಜಿಯ ಸೀರೆ ಮಡಚೋಕೆ ಆಗಲ್ಲ, ಅಜ್ಜನ ರೊಕ್ಕ ಎಣಿಸೋಕೆ ಆಗಲ್ಲ	ಮೋಡ, ನಕ್ಷತ್ರ
hoimalnad_kannada_2	ಗಿರಗಿರ ತಿರುಗುತ್ತೆ, ಸುಸ್ತಾಗಿ ಬೀಳುತ್ತೆ	ಬುಗುರಿ
hoimalnad_kannada_3	ಹುಟ್ಟುತ್ತಲೇ ಹುಡುಗ ತಲೆಯಲ್ಲಿ ಟೋಪಿ ಹಾಕಿರುತ್ತೆ.	ಬದನೇಕಾಯಿ
hoimalnad_kannada_4	ಸಾಗರ ಪುತ್ರ, ಸಾರಿನ ಮಿತ್ರ	ಉಪ್ಪು
hoimalnad_kannada_5	ಗುಡುಗು, ಗುಡುಗಿದರೆ ಸಾವಿರ ನಯನಗಳು ಅರಳುವುದು	ನವಿಲು
hoimalnad_kannada_6	ಲಟಪಟ ಲೇಡಿಗೆ ಒಂದೇ ಕಣ್ಣು	ಸೂಜಿ
hoimalnad_kannada_7	ಹಸಿರು ಕೋಲಿಗೆ ಮುತ್ತಿನ ತುರಾಯಿ	ಜೋಳದ ತೆನೆ
hoimalnad_kannada_8	ಕಡ್ಲೆ ಕಾಳಷ್ಟು ಹಿಂಡಿ 32 ಮನೆ ಸಾರಿಸಿ ಬಚ್ಚಲ ಪಾಲು ಆಗುತ್ತೆ	ಹಲ್ಲುಪುಡಿ
hoimalnad_kannada_9	ಕೆಂಪು ಕುದುರೆ ಮೇಲೆ ಒಬ್ಬ ಏರುತ್ತಾನೆ, ಒಬ್ಬ ಇಳಿಯುತ್ತಾನೆ	ರೊಟ್ಟಿ, ದೋಸೆ
hoimalnad_kannada_10	ಕರಿ ಗುಡ್ಡಬಿಳಿ ನೀರು ಅದ್ರಾಗೆ ಕುಂತವಳೇ ಚಂಪರಾಣಿ	ಗಡಿಗೆ ಮಜ್ಜಿಗೆ
hoimalnad_kannada_11	ಅಗಲವಾದ ಮಾಳಿಗೆಗೆ ಒಂದೇ ಕಂಬ	ಛತ್ರಿ
hoimalnad_kannada_12	ಬಿಳಿ ತೊಟ್ಟಿಯಲ್ಲಿ ಕಪ್ಪು ದ್ರಾಕ್ಷಿ	ಕಣ್ಣು
hoimalnad_kannada_13	ಎರಡು ಗವಿಗಳಿಗೆ ಒಂದೇ ಗೋಡೆ	ಮೂಗು
hoimalnad_kannada_14	ಹಸಿರು ಮರದಲ್ಲಿ ಮೊಸರು ಚೆಲ್ಲಿದೆ	ಮಲ್ಲಿಗೆ
hoimalnad_kannada_15	ಐದು ಮನೆಗೆ ಒಂದೇ ಅಂಗಳ	ಅಂಗ್ಯ
hoimalnad_kannada_16	ಚಿಕ್ಕ ಮನೆಗೆ ಚಿನ್ನದ ಬೀಗ	ಮೂಗುತಿ
hoimalnad_kannada_17	ಹಗ್ಗ ಹಾಸಿದೆ, ಹಸು ಮಲಗಿದೆ	ಕುಂಬಳಕಾಯಿ
hoimalnad_kannada_18	ಹತ್ತಾರು ಮಕ್ಕಳ ತಂದೆ ಅದಕ್ಕೆ ತಲೆಯ ಮೇಲೆ ಜುಟ್ಟು	ಹುಂಜ
hoimalnad_kannada_19	ಕಿರೀಟ ಇದೆ ರಾಜ ಅಲ್ಲ, ಕಲ ತಿಳಿಸುತ್ತೆ ಗಡಿಯಾರವಲ್ಲ	ಕೋಳಿ
hoimalnad_kannada_20	ಒಂದು ಹಣ್ಣಿಗೆ ಹನ್ನೆರಡು ತೊಳೆ ಮತ್ತೂ ಮೂವತ್ತು ಬೀಜ	ವರ್ಷ
hoimalnad_kannada_21	ಗುಂಡಾಕಾರ ಮೈಯೆಲ್ಲಾ ತೂತು	ದೋಸೆ
hoimalnad_kannada_22	ಬಂಗಾರದ ಗುಬ್ಬಿ ಬಾಲದಲ್ಲೇ ನೀರನ್ನು ಕುಡಿಯುತ್ತೆ	ಚಿಮಿಣಿ
hoimalnad_kannada_23	ಒಂದು ಮರ, ಮರದಾಗ ಅಲ್ಲ, ಅಲ್ಲಿನಾಗ ಕೊಬ್ರಿ ಗುಂಡ	ಆಕಾಶ ನಕ್ಷತ್ರ ಚಂದ್ರ
hoimalnad_kannada_24	ಅನ್ನ ಮಾಡಲಿಕ್ಕೆ ಬಾರದಂತಹ ಅಕ್ಕಿ ಯಾವುದು	ಏಲಕ್ಕಿ
hoimalnad_kannada_25	ಬೆಳ್ಳಿ ಬಟ್ಟಲಲ್ಲಿ ಮುತ್ತಿನ ಬಿಂದು	ತಾರೆ
hoimalnad_kannada_26	ಲಟಪಟ ಲೇಡಿಗೆ ಒಂದೇ ಕಣ್ಣು	ಸೂಜಿ
hoimalnad_kannada_27	ಹಸಿರು ಕೋಲಿಗೆ ಮುತ್ತಿನ ತುರಾಯಿ	ಜೋಳದ ತೆನೆ
hoimalnad_kannada_28	ಬಿಳಿ ಹುಲ್ಲಲ್ಲಿ ಕೆಂಪು ಕುರಿಮರಿ	ನಾಲಿಗೆ
hoimalnad_kannada_29	ಸೂಜಿ ಸಣ್ಣಕಾಗೆ ಬಣ್ಣ	ಕೂದಲು
hoimalnad_kannada_30	ಹೋದರು ಇರುತ್ತೆ ಬಂದರೂ ಕಾಡುತ್ತೆ. ಇದು ಏನು	ನೆನಪು
