#https://huggingface.co/datasets/HWGuncoverAI/riddles
query,label,hint
What can fill a room but takes up no space?,['Light'],It brightens the surroundings.
What can you hold in your right hand but not in your left?,['Your left hand'],It’s attached to your body.
What can travel around the world while staying in a corner?,['A stamp'],It's used on mail
What has four legs but doesn’t walk?,['A table'],It’s furniture.
What gets wet while drying?,['A towel'],It's used after bathing
What can you catch but not throw?,['A cold'],It's an illness
What goes up but never comes down?,['Age'],It only increases
"What has cities but no people, forests but no trees, and rivers but no water?",['A map'],It’s a representation of geography.
What has 13 hearts but no other organs?,['A deck of cards'],It's used for games
What has a head and a tail but no body?,['A coin'],It's used as currency
What gets wetter and wetter the more it dries?,['A towel'],It's used after bathing
"What goes through cities and fields, but never moves?",['A road'],It's a path for travel
What can be cracked but never broken?,['A code'],It's a system of symbols with hidden meaning
"I have cities, but no houses. I have mountains, but no trees. I have water, but no fish. What am I?",['A map'],It represents geographic features
"What can be cracked, made, told, and played?",['A joke'],It’s something humorous.
"What comes once in a minute, twice in a moment, but never in a thousand years?",['The letter M'],It appears in certain words.
What can’t talk but will reply when spoken to?,['An echo'],It repeats your words back to you.
"What can you hold in your hand, but can never touch?",['Your reflection'],It appears but is intangible.
What can you catch but not throw?,['A cold'],It's an illness
"What can run but never walks, has a mouth but never talks, has a bed but never sleeps?",['A river'],I flow from mountains to the sea
"The more you take, the more you leave behind. What am I?",['Footsteps'],You create them as you walk.
"The more you take, the more you leave behind. What am I?",['Footsteps'],You make these as you walk
What gets wetter as it dries?,['A towel'],It absorbs water after use.
"I have keys but no locks, I have space but no room. You can enter, but can't go outside. What am I?",['A keyboard'],You use me to type
What has words but never speaks?,['A book'],It's full of written content
"What has a head, a tail, is brown, and has no legs?",['A penny'],It’s a form of currency.
What can be broken without being touched?,['A heart'],It can be emotionally hurt
What goes up but never comes down?,['Your age'],It only increases.
"What starts with 'e', ends with 'e', and contains one letter?",['An envelope'],It carries mail
What tastes better than it smells?,['A tongue'],It's in your mouth
"What runs but never walks, has a mouth but never talks, has a head but never weeps, has a bed but never sleeps?",['A river'],It's a natural water flow
What runs around a house but doesn't move?,['A fence'],It surrounds property
"What has keys, but no locks; space, but no room; you can enter, but not go in?",['A keyboard'],It's used for typing
What can you catch but not throw?,['A cold'],It's an illness
What is so fragile that speaking its name breaks it?,['Silence'],It’s the absence of noise.
What can travel around the world while staying in one spot?,['The internet'],It connects people globally
What has eyes but cannot see?,['A potato'],I'm a vegetable with small indentations
What can you catch but not throw?,['A cold'],It's an illness
"What goes through cities and fields, but never moves?",['A road'],It's a path for travel
"I'm full of holes, but I still hold water. What am I?",['A sponge'],I'm used for cleaning
What can you catch but not throw?,['A cold'],It’s contagious but intangible.
"What's black when you get it, red when you use it, and white when you're all through with it?",['Charcoal'],It's used for grilling
What can be caught but never thrown?,['Sleep'],It's a state of rest
What gets sharper the more you use it?,['Your mind'],It's your thinking organ
What has hands but cannot clap?,['A clock'],I show you the time
What is seen in the middle of March and April but can’t be seen at the beginning or end?,['The letter R'],It’s part of the spelling.
What can run but never walks?,['Colors'],They can run or bleed in fabric
What has one eye but cannot see?,['A needle'],It’s used for sewing.
I have a head and a tail that will never meet. Having too many of me is always a treat. What am I?,['A coin'],It's used as currency
What can run but has no legs?,['A thought'],It moves through your mind
What gets wetter as it dries?,['A towel'],It's used after bathing
What can be broken without being touched?,['Silence'],Speaking ends it immediately
What gets sharper the more you use it?,['Your mind'],It's your thinking organ
"The more you have, the less you see. What am I?",['Fog'],It blocks your vision.
"What begins with T, ends with T, and has T in it?",['A teapot'],Think about something used for brewing a popular hot beverage
"What starts with 'e', ends with 'e', and contains one letter?",['An envelope'],It carries mail
What has a thumb and four fingers but is not alive?,['A glove'],You wear it on your hand
What has branches but no leaves?,['A coral reef'],I'm an underwater ecosystem
What's always coming but never arrives?,['Tomorrow'],It's always in the future
"What has legs, but doesn't walk?",['A table'],It's a piece of furniture
"The more you take, the more you leave behind. What am I?",['Footsteps'],Consider what you create as you walk along a beach
"What can you catch, but not throw?",['A cold'],It's an illness
What can travel around the world while staying in one spot?,['A stamp'],It’s stuck on mail.
I am always hungry; I must always be fed. The finger I touch will soon turn red. What am I?,['Fire'],It consumes fuel to keep burning
What gets wetter the more it dries?,['A towel'],It absorbs water.
"What can be cracked, made, told, and played?",['A joke'],It's meant to be funny
What has hands but can’t clap?,['A clock'],It tells time but doesn’t make noise.
What has words but never speaks?,['A book'],It's full of written content
What flies without wings?,['Time'],It passes quickly.
What has a head and a tail but no body?,['A coin'],It's used as currency
What can go up and down without moving?,['Temperature'],I measure how hot or cold it is
What has many teeth but can't bite?,['A comb'],It's used for hair
What has a neck but no head?,['A bottle'],You drink from me
What has legs but doesn't walk?,['A chair'],It's for sitting
What invention lets you look right through a wall?,['A window'],It's made of glass.
What can you catch but not throw?,['A cold'],It's an illness that makes you sneeze
What has a head and a tail that are only made of gold?,['A coin'],It's used as currency
What has words but never speaks?,['A book'],It holds stories.
"What has a head but never weeps, has a bed but never sleeps?",['A nail'],I'm pounded into wood
What is always in front of you but can't be seen?,['The future'],It's something that hasn't happened yet
What has a neck but no head?,['A bottle'],You drink from me
What can fill a room but takes up no space?,['Light'],It illuminates.
What comes down but never goes up?,['Rain'],It falls from the sky.
"What has keys that open no locks, space but no room, and you can enter but not go in?",['A keyboard'],You type on it
"I am taken from a mine and shut up in a wooden case, from which I am never released, and yet I am used by everyone. What am I?",['A pencil lead'],You write with me
"I'm full of holes, but I still hold water. What am I?",['A sponge'],It's used for cleaning
What building has the most stories?,['A library'],Think about books
What's full of holes but still holds water?,['A sponge'],It's used for cleaning
What has many teeth but can’t bite?,['A comb'],It’s used for grooming hair.
What room do ghosts avoid?,['The living room'],It's a play on words
What has to be broken before you can use it?,['An egg'],You crack it open.
