childhood-stories_1	చిన్న పాపకు చాలా చీరలు. ఏమిటది?	ఉల్లిపాయ
childhood-stories_2	జాన కాని జాన, ఏమి జాన?	ఖజాన
childhood-stories_3	తెలిసేలా పూస్తుంది, తెలియకుండా కాస్తుంది?	వేరుశెనగ కాయ
childhood-stories_4	లాగి విడిస్తేనే బ్రతుకు?	ఊపిరి
childhood-stories_5	పువ్వులో అందరికీ పనికి వొచ్చే పువ్వు?	పత్తి పువ్వు
childhood-stories_6	పెద్ద ఇంటిలో పొట్టివాన్ని నిలబెడితే నిండా నేనే?	దీపం
childhood-stories_7	పొద్దుటూరి చెట్లలో పొదిలింది చెళవాయి, చూసే వారే కాని పట్టే వారు లేరు?	సూర్యుడు
childhood-stories_8	మూత తెరిస్తే, ముత్యాల పేరు?	దంతాలు
childhood-stories_9	మేకల్ని తోలేసి తడకలకి పాలు పిండుతారు?	తేనె పట్టు
childhood-stories_10	మొగ్గ కాని మొగ్గ, ఏమి మొగ్గ?	లవంగ మొగ్గ
childhood-stories_11	ముళ్ల కంచెలో మిఠాయి పొట్లం?	తేనె పట్టు
childhood-stories_12	రసం కాని రసం, ఏమి రసం?	నీరసం
childhood-stories_13	మొదట చప్పన, నడుమ పుల్లన, కొస కమ్మన?	పాలు, పెరుగు, నెయ్యి
childhood-stories_14	మోదం కాని మోదం?	ఆమోదం
childhood-stories_15	రెక్కలు లేని పిట్ట గూటికి సరిగా చేరింది?	ఉత్తరం
childhood-stories_16	కొక లేదు, సీత కాదు! రామ చిలుక కానేకాదు!! అదేమిటి?	సీతాకోక చిలుక
childhood-stories_17	రాజాధి రాజులు కూడా ఒకరిముందు తల వంచుకుంటారు?	మంగలి
childhood-stories_18	రాజు నల్లన ప్రధాన పచ్చన, పాలు పుల్లన?	తాటి చెట్టు
childhood-stories_19	రెండు కొడతాయి, ఒకటి పెడుతుంది?	ఎండ, వాన, చలి
childhood-stories_20	రాళ్ల అడుగున విల్లు, విల్లు కోనలో ముళ్లు?	తేలు
childhood-stories_21	అందమైన గిన్నెలో ఎర్రని పిట్ట తోకతో నీళ్లు త్రాగుతుంది	దీపం వత్తి
childhood-stories_22	కడుపు నిండా రాగాలు, వంటి నిండా గాయాలు?	మురళి
childhood-stories_23	ఇష్టంగా తెచ్చుకుంటారు, చంపి ఏడుస్తారు?	ఉల్లి
childhood-stories_24	సముద్రంలో పుట్టిపెరిగి ఊరిలో అరుస్తుంది, ఏమిటది?	శంఖం
childhood-stories_25	నీళ్లు నుంచి వ‌స్తుంది. నీకు నాకూ రుచిస్తుంది? ఇంత‌కీ ఏమిట‌ది?	పొట్ల‌కాయ‌లు
childhood-stories_26	ఆకులు లేని అడ‌విలో జీవం లేని జంతువు జీవాల‌ను వేటాడుతుంది ఏంట‌ది?	దువ్వెన‌
childhood-stories_27	వీధిరాజుకు కొప్పుది కానీ జుట్టు లేదు, క‌ళ్ళున్నాయి కానీ చూపులేదు ఏంట‌ది?	కొబ్బ‌రికాయ‌
childhood-stories_28	ఆరు ఆమ‌డ‌ల నుండి అల్లుడు వ‌స్తే అత్త‌గారు వ‌డ్డించింది విత్తులేని కూర ఏంట‌ది?	పుట్ట‌గొడుగుల కూర‌
childhood-stories_29	తెల్ల‌టి పొలంలో న‌ల్ల‌టి విత్త‌నాలు, చేతితో చ‌ల్లుతాం, నోటితో ఏరుతాం ఏమిట‌వి?	పుస్త‌కంలో అక్ష‌రాలు
childhood-stories_30	ముక్కు మీద‌కెక్కు, ముదుర చెక్కుల నొక్కు, ట‌క్కు నిక్కుల సొక్కు జారిందో పుటుక్కు ఏమిట‌ది?	క‌ళ్ల‌జోడు
childhood-stories_31	తోలు న‌లుపు, తింటే పులుపు, ఏంటో అది?	చింత‌పండు
childhood-stories_32	కుడితి తాగ‌దు, మేత మెయ్య‌దు, కానీ క‌డివెడు పాలు ఇస్తుంది. ఏంట‌ది?	తాటిచెట్టు
childhood-stories_33	స‌న్న‌టి స్థంభం, ఎవ్వ‌రూ ఎక్క‌లేరు, దిగ‌లేరు ఏంట‌ది?	సూది
childhood-stories_34	అగ్గిపెట్టెలో ఇద్ద‌రు పోలీసులు ఏంట‌ది?	వేరుశ‌న‌గ కాయ‌
childhood-stories_35	ఇంట్లో మొగ్గ బ‌య‌ట‌కొస్తే పువ్వు?	గొడుగు
childhood-stories_36	కాళ్ళున్నా పాదాలే లేనిది ఏంట‌ది?	కుర్చీ
childhood-stories_37	చ‌క్క‌న‌మ్మ చిక్కినా అందంగా ఉంటుంది? ఏంట‌ది?	స‌బ్బు
childhood-stories_38	ప‌చ్చ‌ని పాముకు తెల్ల‌ని చార‌లు? ఏంట‌ది?	పొట్ల‌కాయ‌
childhood-stories_39	నాలుగు క‌ర్ర‌ల మ‌ద్య న‌ల్ల‌రాయి? ఏంట‌ది?	ప‌ల‌క‌
childhood-stories_40	చెట్టుకు కాయ‌ని కాయ కర‌క‌ర‌లాడే కాయ‌? ఏంట‌ది?	క‌జ్జికాయ‌
childhood-stories_41	అడ‌విలో పుట్టాను అడ‌విలో పెరిగాను వంటినిండా గాయాలు క‌డుపునిండా రాగాలు	ముర‌ళి – ఫ్లూట్‌
