inputs,targets,template_id,template_lang
"ఈ రిడిల్ కి జవాబు ఇవ్వు
అందమైన సరస్సులో ఎర్రపిట్ట తోకతో నీళ్ళు తాగుతోంది","మీరు అడిగిన రిడిల్ కి సమాధానం:
""దీపపు వత్తి""",1,['tel']
"ఈ పొడుపు కథకి సమాధానం ఇవ్వు
దండ కాని దండ ?","మీరు అడిగిన పొడుపు కథకి సమాధానం:
""అండదండ, కైదండ""",2,['tel']
"ఈ రిడిల్ కి జవాబు ఇవ్వు
తెల్లని విస్తరిలో నల్లని మెతుకులు","మీరు అడిగిన రిడిల్ కి సమాధానం:
""అక్షరాలు""",1,['tel']
"ఈ రిడిల్ కి జవాబు ఇవ్వు నువ్వు ఒక గది లోనికి వెళ్ళినప్పుడు అక్కడ ఒక అగ్గి పెట్టి ,ఒక కిరోసిన్ ల్యాంప్ ,ఒక క్యాండిల్ ఉంటాయి. నువ్వు మొదటిగా దేనిని 
వెలిగిస్తావు.?","మీరు అడిగిన రిడిల్ కి సమాధానం:
""అగ్గి పెట్టె""",1,['tel']
"ఈ పొడుపు కథకి జవాబు ఇవ్వు వేలెడంత లోగిలిలో, ఏభైమంది నివాసము!","మీరు అడిగిన పొడుపు కథకి సమాధానం:
""అగ్గి పెట్టెలోని పుల్లలు""",2,['tel']
"ఈ రిడిల్ కి జవాబు ఇవ్వు
తెల్లటోడు నల్లటోడిని తన్ను!","మీరు అడిగిన రిడిల్ కి సమాధానం:
""అగ్గిపెట్టె""",1,['tel']
"ఈ పొడుపు కథకి సమాధానం ఇవ్వు
అంగుళం గదిలో అరవైమంది","మీరు అడిగిన పొడుపు కథకి సమాధానం:
""అగ్గిపెట్టె""",2,['tel']
"ఈ పొడుపు కథకి సమాధానం ఇవ్వు
అర కణం గదిలో 60 మంది నివాసం?","మీరు అడిగిన పొడుపు కథకి సమాధానం:
""అగ్గిపెట్టె, అగ్గి పుల్లలు""",2,['tel']
ఈ రిడిల్ కి సమాధానం ఇవ్వు నీవు ఎన్ని తీసుకుంటే నీ వెనకాల అన్ని మిగిలిపోతాయి ఎవరి నేను?,"మీరు అడిగిన రిడిల్ కి సమాధానం:
""అడుగులు""",1,['tel']
ఈ పొడుపు కథకి జవాబు ఇవ్వు ‘డ్రస్’ గాని డ్రస్! ఏమి డ్రస్?,"మీరు అడిగిన పొడుపు కథకి సమాధానం:
""అడ్రస్""",2,['tel']
ఈ పొడుపు కథకి సమాధానం ఇవ్వు తెలిసి కాయ కాస్తుంది. తెలీకుండా పువ్వు పూస్తుంది.,"మీరు అడిగిన పొడుపు కథకి సమాధానం:
""అత్తి చెట్టు""",2,['tel']
ఈ రిడిల్ కి జవాబు ఇవ్వు ముట్టుకుంటే ముడుచుకుంటుంది. పట్టుకుంటే గుచ్చుకుంటుంది.,"మీరు అడిగిన రిడిల్ కి సమాధానం:
""అత్తిపత్తి""",1,['tel']
"ఈ రిడిల్ కి జవాబు ఇవ్వు
ఒక ట్రైన్ పడమర వైపు వెళుతూ ఉంది దాని పొగ ఎటువైపు వెళుతుంది?","మీరు అడిగిన రిడిల్ కి సమాధానం:
""అది ఎలక్ట్రిక్ ట్రైన్ కనుక దానికి పొగ అనేదే ఉండదు""",1,['tel']
"ఈ పొడుపు కథకి సమాధానం ఇవ్వు
ఒక వ్యక్తి తన కుక్కను ఒక నదికి ఇవతల నుంచి అవతలకు దాటి రమ్మన్నాడు అది దాటి వచ్చింది కానీ దాని శరీరానికి ఏమాత్రంతడి అంటలేదు, ఎందుకు?","మీరు అడిగిన పొడుపు కథకి సమాధానం:
""అది మంచుతో కప్పబడి వుంది .""",2,['tel']
"ఈ రిడిల్ కి జవాబు ఇవ్వు చూస్తే చూసింది గానీ కళ్లు లేవు. నవ్వితే నవ్వింది గాని పళ్లు నోరు లేదు, తంతే తన్నింది గాని కాలు లేదు.","మీరు అడిగిన రిడిల్ కి సమాధానం:
""అద్దం""",1,['tel']
